今回問,ページ,分野,テーマ,正解,重要語,確度,最有力種別,最有力掲載ページ,最有力URL,確認メモ,候補2種別,候補2,候補2URL,候補3種別,候補3,候補3URL
問1,P.4,基礎理論,情報落ち,エ,情報落ち,高,FE公開問題,基本情報 過去問サイト内検索: 情報落ち,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E6%83%85%E5%A0%B1%E8%90%BD%E3%81%A1%20%E9%81%8E%E5%8E%BB%E5%95%8F,公開問題で頻出の浮動小数点誤差。小さい値から加算して情報落ちを抑える問題。,AP公開問題,応用情報 過去問サイト内検索: 情報落ち,https://www.google.com/search?q=site%3Aap-siken.com/kakomon%20%E6%83%85%E5%A0%B1%E8%90%BD%E3%81%A1%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: 情報落ち,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E6%83%85%E5%A0%B1%E8%90%BD%E3%81%A1%20%E9%81%8E%E5%8E%BB%E5%95%8F
問2,P.4,基礎理論,くじを同時に引く確率,ウ,組合せ確率,中,FE公開問題,基本情報 過去問サイト内検索: 組合せ確率,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E7%B5%84%E5%90%88%E3%81%9B%E7%A2%BA%E7%8E%87%20%E9%81%8E%E5%8E%BB%E5%95%8F,同時に2本引く場合の組合せ確率。,AP公開問題,応用情報 過去問サイト内検索: 組合せ確率,https://www.google.com/search?q=site%3Aap-siken.com/kakomon%20%E7%B5%84%E5%90%88%E3%81%9B%E7%A2%BA%E7%8E%87%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: 組合せ確率,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E7%B5%84%E5%90%88%E3%81%9B%E7%A2%BA%E7%8E%87%20%E9%81%8E%E5%8E%BB%E5%95%8F
問3,P.4,基礎理論,BNFによる生成文字列,ア,BNF,中,AP公開問題,応用情報 過去問サイト内検索: BNF,https://www.google.com/search?q=site%3Aap-siken.com/kakomon%20BNF%20%E9%81%8E%E5%8E%BB%E5%95%8F,形式文法・BNFによる文字列生成の読取り。,FE公開問題,基本情報 過去問サイト内検索: BNF,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20BNF%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: BNF,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20BNF%20%E9%81%8E%E5%8E%BB%E5%95%8F
問4,P.5,基礎理論,垂直パリティチェック,ア,垂直パリティ,中,FE公開問題,基本情報 過去問サイト内検索: 垂直パリティ,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E5%9E%82%E7%9B%B4%E3%83%91%E3%83%AA%E3%83%86%E3%82%A3%20%E9%81%8E%E5%8E%BB%E5%95%8F,パリティ方式で検出できる誤り数に関する論点。,AP公開問題,応用情報 過去問サイト内検索: 垂直パリティ,https://www.google.com/search?q=site%3Aap-siken.com/kakomon%20%E5%9E%82%E7%9B%B4%E3%83%91%E3%83%AA%E3%83%86%E3%82%A3%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: 垂直パリティ,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E5%9E%82%E7%9B%B4%E3%83%91%E3%83%AA%E3%83%86%E3%82%A3%20%E9%81%8E%E5%8E%BB%E5%95%8F
問5,P.5,アルゴリズム,スタック操作の特徴,イ,LIFO,高,FE公開問題,基本情報 過去問サイト内検索: LIFO,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20LIFO%20%E9%81%8E%E5%8E%BB%E5%95%8F,スタックの後入れ先出しを問う基本問題。,FE公開問題,基本情報 過去問サイト内検索: LIFO,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20LIFO%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: LIFO,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20LIFO%20%E9%81%8E%E5%8E%BB%E5%95%8F
問6,P.6,アルゴリズム,ハッシュ値の計算,イ,ハッシュ関数,中,FE公開問題,基本情報 過去問サイト内検索: ハッシュ関数,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E3%83%8F%E3%83%83%E3%82%B7%E3%83%A5%E9%96%A2%E6%95%B0%20%E9%81%8E%E5%8E%BB%E5%95%8F,文字コード順位の総和をmodで割るハッシュ計算。,FE公開問題,基本情報 過去問サイト内検索: ハッシュ関数,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E3%83%8F%E3%83%83%E3%82%B7%E3%83%A5%E9%96%A2%E6%95%B0%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: ハッシュ関数,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E3%83%8F%E3%83%83%E3%82%B7%E3%83%A5%E9%96%A2%E6%95%B0%20%E9%81%8E%E5%8E%BB%E5%95%8F
問7,P.6,ソフトウェア,XMLの特徴,ウ,XML,中,FE公開問題,基本情報 過去問サイト内検索: XML,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20XML%20%E9%81%8E%E5%8E%BB%E5%95%8F,XMLのタグ定義・属性情報・論理構造を問う問題。,FE公開問題,基本情報 過去問サイト内検索: XML,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20XML%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: XML,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20XML%20%E9%81%8E%E5%8E%BB%E5%95%8F
問8,P.7,コンピュータ,CPIによる実行時間計算,エ,CPI,高,FE公開問題,基本情報 過去問サイト内検索: CPI,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20CPI%20%E9%81%8E%E5%8E%BB%E5%95%8F,命令列とCPI、クロック周波数から実行時間を求める。,FE公開問題,基本情報 過去問サイト内検索: CPI,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20CPI%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: CPI,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20CPI%20%E9%81%8E%E5%8E%BB%E5%95%8F
問9,P.7,コンピュータ,メモリインタリーブ,エ,メモリインタリーブ,中,FE公開問題,基本情報 過去問サイト内検索: メモリインタリーブ,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E3%83%A1%E3%83%A2%E3%83%AA%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%AA%E3%83%BC%E3%83%96%20%E9%81%8E%E5%8E%BB%E5%95%8F,主記憶を複数バンクに分け並列アクセスする高速化方式。,FE公開問題,基本情報 過去問サイト内検索: メモリインタリーブ,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E3%83%A1%E3%83%A2%E3%83%AA%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%AA%E3%83%BC%E3%83%96%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: メモリインタリーブ,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20%E3%83%A1%E3%83%A2%E3%83%AA%E3%82%A4%E3%83%B3%E3%82%BF%E3%83%AA%E3%83%BC%E3%83%96%20%E9%81%8E%E5%8E%BB%E5%95%8F
問10,P.8,システム,RAIDのミラーリング,ア,RAID1,中,FE公開問題,基本情報 過去問サイト内検索: RAID1,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20RAID1%20%E9%81%8E%E5%8E%BB%E5%95%8F,ミラーリングによる信頼性向上と冗長ディスク。,FE公開問題,基本情報 過去問サイト内検索: RAID1,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20RAID1%20%E9%81%8E%E5%8E%BB%E5%95%8F,修了試験問題情報,修了試験 過去問サイト内検索: RAID1,https://www.google.com/search?q=site%3Afe-siken.com/kakomon%20RAID1%20%E9%81%8E%E5%8E%BB%E5%95%8F
